,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
PPP1R1A,7.92931575,7.527014851,8.685668726,8.724476428,8.26232687,9.939579214,9.644844976,8.493520702,6.726586411,10.56165394,8.176941989,6.676641315,6.795913624,9.963881299,7.14049605,6.651877931,6.863478194,8.792245971,7.952806456,8.018826116,7.544478507
PPP1R1B,12.43845303,8.799026486,10.87655118,11.32713077,9.930808174,10.2179577,7.758968977,10.4476192,10.97909574,8.32481941,11.22299554,11.42069453,9.068283328,8.224837238,10.18769965,10.70971635,10.37077552,11.82533164,10.13359692,11.11214121,6.394006014
PPP1R1C,4.605521717,4.641163735,4.556923297,3.773927614,4.262886419,4.754887502,3.978499443,5.373948821,5.702022762,4.04840182,4.965428597,4.548420547,5.0264468,4.898704845,4.947786068,4.676296142,5.529173425,4.766480073,5.577666105,4.099409154,5.228868639
PPP1R2,10.39092202,10.95938319,10.56695636,10.72654224,10.48251213,11.16235986,10.99378711,10.84526803,10.55180193,11.07173954,10.42149958,10.57781569,11.18940096,11.51915793,11.16978417,11.0697955,10.74692632,11.27227449,11.08995864,10.55036159,11.64709294
PPP1R21,10.2698395,10.13367256,10.25136538,10.08977491,10.09355583,10.32642949,10.27204061,10.13420897,10.29554148,10.57655223,10.22979253,10.28025246,10.56057781,10.52950718,10.41719669,10.13720529,10.38865188,10.14516813,10.18854209,9.611370646,10.71511321
PPP1R26,10.21078193,9.420799513,10.18365533,10.14295273,9.792870568,9.705632387,9.667145753,10.12629404,10.11778888,9.317369091,10.10278612,10.53982968,9.607746487,8.774652501,9.61689718,9.657964206,9.999887261,9.728024311,9.931221859,10.19426704,8.999292068
PPP1R26-AS1,6.742939221,5.981802521,6.791607627,6.909329137,6.476627156,6.137913322,6.65778579,6.39018493,7.29889696,6.188032417,6.76686901,6.768528442,6.220581952,6.423752008,6.632808201,7.050190684,6.674823787,6.904736918,6.659948668,6.587369818,6.251172637
PPP1R27,0,0.999420211,0,1.019859233,0,2.321928095,2.309447408,1.589813287,1.972554224,1.569816124,2.642136051,1.112773552,1.579323404,1.019002117,0,2.129307011,1.768911038,1.026405616,1.986804754,1.107816764,0
PPP1R2B,0,1.042039824,1.072577698,0,0.977370317,1.03562391,1.043988856,0,1.609868782,2.036930199,0,0,1.631090644,0,0,1.146890535,0,0,1.035765363,0,0.857665136
PPP1R2C,0,0,2.043723814,0,2.044586614,0,0,0,0.986277112,0,2.044235497,0,0,0,0,0,0,0,0,0,0
PPP1R2P2,3.323794032,3.320002079,3.781338386,0,4.342627865,4.169925001,2.983874582,3.819007352,2.958831336,1.569816124,2.642136051,2.225547105,3.447123396,0,2.581617814,0,2.591407832,4.766480073,4.723516547,2.863664793,3.951434055
PPP1R32,5.420874582,5.854584604,5.362657216,5.664898728,5.614284663,5.491853096,5.776139581,5.508660942,5.508320686,4.859998877,4.860054908,4.117751451,5.837139036,5.385836052,4.900541562,5.224138275,4.249231225,4.70603126,5.175083356,4.940233106,5.586537499
PPP1R35,7.960996988,8.175166471,7.781181921,8.07612579,8.143367958,7.8008999,8.290586471,7.900623069,8.148715044,7.972921782,7.973438243,7.712341209,7.666114499,7.729092848,7.803670927,7.706392981,7.538850326,7.689680092,7.670158287,7.716812606,7.485258756
PPP1R36,6.790067311,5.778007747,6.942954753,6.684757961,6.444312867,6.357552005,6.033483117,6.377009326,7.041576089,6.491951234,7.059655465,7.310761565,5.406958788,5.423055997,7.597487177,7.86108666,7.15325591,6.08734211,7.40205083,7.583548637,5.648638087
